PlotID,Year,Field,Plot,Treat,SDiv,LeftS,ColS,Tot_S,W_m2,Ach_mil,Agr_git,Ant_tin,Cen_cya,Cen_jac,Cic_int,Dau_car,Dip_ful,Ech_vul,Hyp_per,Leu_vul,Mal_mos,Mal_syl,Ori_vul,Pap_rho,Pas_sat,Sil_lat,Tan_vul,Ver_lyc,Ver_tha,Mel_alb,Ono_vic,Ace_pse,Aet_cyn,Agr_sto,Alt_off,Ama_ret,Ana_arv,Ape_spi,Arr_ela,Bor_off,Bra_nap,Cam_pat,Cap_bur,Car_pra,Cen_ery,Cer_sp.,Cha_min,Cha_rec,Che_alb,Che_pol,Che_sp.,Cir_lut,Cir_arv,Cir_vul,Cle_vit,Con_arv,Con_can,Cor_san,Cor_sp.,Cre_bie,Dac_glo,Des_fl,Dig_san,Ech_cru,Ely_rep,Epi_hir,Epi_sp,Epi_wei,Equ_arv,Eri_ann,Eup_hel,Eup_str,Fal_con,Fest,Fil_uli,Gal_cil,Gal_alb,Gal_apa,Ger_rot,Geu_urb,Gle_hed,Gras,Hol_lan,Hyp_rad,Jug_reg,Jun_buf,Jun_sp.,Kic_ela,Kic_spu,Lac_ser,Lam_amp,Lam_pur,Lin_vul,Lol_per,Lot_cor,Lyt_sal,Med_lup,Med_sat,Men_arv,Mer_ann,Myo_arv,Oen_bie,Oro_spp,Oxa_str,Phl_pra,Pla_lan,Pla_maj,Poa_ann,Pol_avi,Pol_mit,Pol_rot,Pop_alb,Pot_rep,Pru_vul,Ran_rep,Rub_sp.,Rum_obt,Sag_ape,Sal_cap,Sal_alb,Scr_nod,Sen_vul,Set_pum,Sin_alb,Sol_nig,Sol_can,Son_arv,Son_asp,Son_ole,Ste_med,Tar_off,Tri_pra,Tri_rep,Trif_ro,Tri_ino,Trit_sp,Urt_dio,Ver_off,Ver_per,Ver_ser,Vic_hir,Vic_sat,Vio_arv,W_m2,ExInt.Inv
157,2008,1,1,8mm,6,6,8,14,1528.364737,5,0,35,0,0,0,25,0,0,0,2,8,0,8,0,0,5,15,0,5,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1528.364737,8
158,2008,1,2,8mm,12,10,12,22,1128.431971,20,0,0.0001,0,0.0001,0,25,40,35,3,3,8,0.0001,0.0001,0.0001,0.1,2,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,0,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1128.431971,12
159,2008,1,3,8mm,2,2,4,6,1485.705241,0.0001,0,0,0,15,95,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1485.705241,4
160,2008,1,4,8mm,20,12,2,14,1261.742893,2,0,1,0,5,45,1,5,5,0,15,8,5,0,0,0,0,5,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1261.742893,2
161,2008,1,5,25mm,6,6,13,19,1165.759029,5,0,35,0,0,0,20,20,0.0001,5,15,20,5,3,0,0,3,8,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,1165.759029,13
162,2008,1,6,25mm,12,8,11,19,1165.759029,15,0,0,0,0,0,15,25,8,1,2,20,5,1,0,0,1,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,1165.759029,11
163,2008,1,7,25mm,2,2,19,21,1261.742893,0.0001,0,0,0,12,85,0,0.0001,0,0,0,0,1,0.0001,0.0001,0,0.0001,0,0,0,4,0,0,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.0001,0,0,0,0,0,0,0,0,0,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.0001,0,0.0001,0,0.0001,0,0,0,0.0001,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001,0,0,0,0,1261.742893,19
164,2008,1,8,25mm,20,12,11,23,1096.43735,1,0,2,0,2,15,8,35,12,0,0,3,8,1,0,0,1,1,0,0,0,0,0,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001,0,1,0,0,0,0,0,0,0,0,0,0,0.0001,0,0,0.1,0,20,0,0,0,0.0001,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1096.43735,11
165,2008,1,9,no_f,6,6,14,20,1219.083398,0,0,12,0,0,0,0,50,0,0,15,8,5,8,0,0,3,3,0,3,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001,0,0.0001,0,0,0,0,0,0,0,0,0,0,0.0001,0.0001,0,0,0,30,0,0,0,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001,0,0,0,0,0,0,0,0,0,0,0,0.0001,0,0,0,0,1219.083398,14
166,2008,1,10,no_f,12,8,5,13,1331.064572,5,0,0,0,0,0,2,25,8,2,0,0,20,0,0,2,10,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1331.064572,5
