STORENO,CHAIN,MGRSX,STATE,NMGRS,STARTWAGE,OPEN,HRSOPEN,PSODA,PFRY,PENTREE,NREGS
10,1,0,1,4,4.25,7,16,1.04,0.85,0.85,3
11,1,0,1,4,4.25,7,16,1.09,0.89,0.91,3
19,1,0,1,4,4.25,6,16,1.05,0.91,0.93,3
37,1,0,0,7,4.25,6.5,16.5,0.98,0.84,0.84,5
38,1,0,1,5,4.25,6,17,1.05,0.95,0.98,3
39,1,0,0,2,4.25,6.5,17.5,1.03,0.73,0.52,4
40,1,0,0,7,4.25,6.5,16.5,0.98,0.82,0.8,3
41,1,0,0,6,4.25,6.5,16.5,0.98,0.82,0.85,3
45,1,0,0,6,4.25,7,16,0.98,0.83,0.86,3
48,1,0,0,3,4.25,7,14,1.01,0.84,0.63,4
63,1,1,1,,4.25,6,18,1.1,0.97,1.17,4
66,1,0,1,3,4.25,7,17,1.06,0.95,0.95,3
68,1,0,1,3,4.25,7,17,1.07,1.02,1.02,3
69,1,0,1,3,4.25,7,18,1.17,0.95,0.95,4
86,1,0,1,4,4.25,7,15,1.06,0.94,1.1,3
88,1,0,1,3,4.25,7,15,1.06,0.87,0.91,5
91,1,1,1,4,4.25,7,17,1.09,0.93,1.04,3
92,1,1,1,4,4.25,7,15,1.09,0.95,1.03,3
105,1,0,1,4,4.25,6.5,16.5,0.96,1,1.03,4
106,1,0,1,3,4.25,7,16,1.06,0.95,0.95,2
107,1,1,1,3,4.25,8,14.5,1.17,0.95,0.95,3
108,1,0,1,4,4.25,7,17,1.27,1.01,1.06,3
116,1,0,1,2,4.25,8.5,13,1.49,1.02,1.11,7
118,1,0,1,4,4.25,7,15,1.06,0.95,1.01,4
124,1,0,1,3,4.25,8,15,1.06,0.91,1.04,2
168,1,0,1,4,4.25,7,15,1.06,0.95,0.95,3
171,1,1,1,3,4.25,7,16,1.09,0.95,1.04,3
198,1,0,1,4,4.25,7,16,1.06,0.95,0.95,3
200,1,0,1,3,4.25,6,18,1.06,0.91,0.98,4
202,1,0,1,4,4.25,6,19,1.17,0.95,0.63,3
203,1,0,1,2,4.25,7,17,1.06,0.95,0.95,3
204,1,0,1,4,4.25,6.5,17.5,1.06,1,1.06,3
230,1,0,1,3,4.25,7,17,1.02,0.95,0.95,3
235,1,0,1,1,4.25,7,16,1.02,0.95,1.04,3
237,1,0,1,4,4.25,7,16,1.11,0.95,1.01,2
257,1,0,1,3,4.25,7,16,1.02,0.88,0.91,2
258,1,0,1,3,4.25,7,16,1.06,0.92,0.9,3
260,1,1,1,4,4.25,7,16,1.06,0.93,0.88,4
262,1,0,1,3,4.25,6.5,16.5,1.06,0.95,1.06,4
264,1,0,1,2,4.25,7,15,1.02,0.88,0.91,2
265,1,0,1,1,4.25,7,16,1.02,0.88,0.94,3
267,1,0,1,3,4.25,7,16,0.9,0.8,0.8,3
297,1,1,1,3,4.25,7,16,1.06,0.91,0.98,3
312,1,0,1,3,4.25,8,11,1.22,1.06,0.93,3
317,1,0,1,2,4.25,8,12,1.22,0.93,0.96,3
333,1,0,1,4,4.25,7,15,1.02,0.88,0.82,4
339,1,1,1,2,4.25,7,16,1.06,0.85,0.95,3
340,1,0,1,3,4.25,7.5,14.5,0.96,0.95,0.85,5
359,1,1,1,4,4.25,7,15,1.02,0.85,0.82,3
360,1,0,1,2,4.25,7,15,1.06,0.84,0.89,3
361,1,0,1,5,4.25,7,16,1.02,0.91,0.85,3
377,1,0,1,3,4.25,8,14,1.06,0.95,0.95,3
